feature,gain_importance
credit_term_proxy,836
external_score_mean,538
previous_annuity_mean,518
previous_days_decision_mean,515
previous_credit_gap_mean,487
EXT_SOURCE_3,467
EXT_SOURCE_1,466
OCCUPATION_TYPE,462
EXT_SOURCE_2,449
bureau_credit_sum,438
AMT_ANNUITY,408
previous_payment_count_mean,403
bureau_debt_ratio,400
DAYS_ID_PUBLISH,365
bureau_days_credit_mean,363
DAYS_REGISTRATION,360
installment_count,354
bureau_debt_sum,353
installment_late_rate,330
previous_credit_mean,316
DAYS_BIRTH,306
annuity_income_ratio,302
AMT_CREDIT,298
installment_days_late_mean,293
bureau_days_credit_min,279
DAYS_LAST_PHONE_CHANGE,278
AMT_GOODS_PRICE,275
age_years,273
credit_income_ratio,266
OWN_CAR_AGE,264
bureau_active_credits,258
previous_refusal_rate,253
installment_payment_ratio_mean,251
REGION_POPULATION_RELATIVE,244
employment_years,230
DAYS_EMPLOYED,212
AMT_INCOME_TOTAL,189
previous_approval_rate,174
installment_underpaid_rate,162
bureau_credits,143
previous_applications,137
HOUR_APPR_PROCESS_START,127
WEEKDAY_APPR_PROCESS_START,92
DEF_30_CNT_SOCIAL_CIRCLE,89
OBS_30_CNT_SOCIAL_CIRCLE,87
REGION_RATING_CLIENT_W_CITY,80
NAME_EDUCATION_TYPE,76
bureau_overdue_sum,68
NAME_FAMILY_STATUS,68
installment_late_count,68
installment_underpaid_count,66
NAME_CONTRACT_TYPE,54
NAME_INCOME_TYPE,51
NAME_HOUSING_TYPE,46
CNT_FAM_MEMBERS,40
CNT_CHILDREN,25
FLAG_OWN_REALTY,25
REGION_RATING_CLIENT,14
FLAG_OWN_CAR,9
bureau_overdue_credits,0
