feature,psi,status
OWN_CAR_AGE,0.0013,stable
EXT_SOURCE_3,0.0006,stable
external_score_mean,0.0005,stable
previous_credit_mean,0.0005,stable
DAYS_REGISTRATION,0.0005,stable
previous_credit_gap_mean,0.0004,stable
installment_count,0.0004,stable
bureau_overdue_credits,0.0003,stable
AMT_INCOME_TOTAL,0.0003,stable
employment_years,0.0003,stable
previous_payment_count_mean,0.0003,stable
EXT_SOURCE_2,0.0003,stable
EXT_SOURCE_1,0.0003,stable
bureau_debt_sum,0.0003,stable
DAYS_ID_PUBLISH,0.0003,stable
DAYS_EMPLOYED,0.0003,stable
AMT_ANNUITY,0.0003,stable
REGION_POPULATION_RELATIVE,0.0003,stable
HOUR_APPR_PROCESS_START,0.0002,stable
credit_income_ratio,0.0002,stable
previous_applications,0.0002,stable
bureau_days_credit_min,0.0002,stable
bureau_credits,0.0002,stable
annuity_income_ratio,0.0002,stable
previous_days_decision_mean,0.0002,stable
bureau_overdue_sum,0.0002,stable
credit_term_proxy,0.0002,stable
installment_late_count,0.0001,stable
installment_late_rate,0.0001,stable
installment_underpaid_count,0.0001,stable
previous_refusal_rate,0.0001,stable
installment_underpaid_rate,0.0001,stable
previous_approval_rate,0.0001,stable
previous_annuity_mean,0.0001,stable
bureau_debt_ratio,0.0001,stable
bureau_credit_sum,0.0001,stable
bureau_days_credit_mean,0.0001,stable
bureau_active_credits,0.0001,stable
DAYS_LAST_PHONE_CHANGE,0.0001,stable
OBS_30_CNT_SOCIAL_CIRCLE,0.0001,stable
CNT_FAM_MEMBERS,0.0001,stable
DAYS_BIRTH,0.0001,stable
AMT_GOODS_PRICE,0.0001,stable
AMT_CREDIT,0.0001,stable
age_years,0.0,stable
DEF_30_CNT_SOCIAL_CIRCLE,0.0,stable
REGION_RATING_CLIENT_W_CITY,0.0,stable
REGION_RATING_CLIENT,0.0,stable
installment_days_late_mean,0.0,stable
installment_payment_ratio_mean,0.0,stable
CNT_CHILDREN,0.0,stable
