model,score_band,customers,predicted_default_rate,observed_default_rate
logistic_scorecard,1,750,0.04428,0.12133
logistic_scorecard,2,750,0.08528,0.12
logistic_scorecard,3,750,0.11792,0.13467
logistic_scorecard,4,750,0.1485,0.148
logistic_scorecard,5,750,0.1806,0.124
logistic_scorecard,6,750,0.20558,0.128
logistic_scorecard,7,750,0.22964,0.15333
logistic_scorecard,8,750,0.26077,0.20933
logistic_scorecard,9,750,0.36458,0.40267
logistic_scorecard,10,750,0.59112,0.67067
gradient_boosting,1,752,0.07713,0.03989
gradient_boosting,2,748,0.09178,0.0869
gradient_boosting,3,752,0.10455,0.07314
gradient_boosting,4,748,0.11895,0.14572
gradient_boosting,5,750,0.13651,0.14533
gradient_boosting,6,750,0.15921,0.156
gradient_boosting,7,750,0.18996,0.18933
gradient_boosting,8,750,0.24694,0.25867
gradient_boosting,9,750,0.40129,0.424
gradient_boosting,10,750,0.69835,0.69333
gradient_boosting_sigmoid,1,750,0.06982,0.04133
gradient_boosting_sigmoid,2,750,0.08443,0.08533
gradient_boosting_sigmoid,3,751,0.09706,0.08123
gradient_boosting_sigmoid,4,749,0.11244,0.13885
gradient_boosting_sigmoid,5,750,0.1314,0.152
gradient_boosting_sigmoid,6,750,0.15494,0.152
gradient_boosting_sigmoid,7,750,0.1874,0.176
gradient_boosting_sigmoid,8,750,0.2479,0.26667
gradient_boosting_sigmoid,9,750,0.41337,0.42133
gradient_boosting_sigmoid,10,750,0.72682,0.69733
gradient_boosting_isotonic,1,751,0.04476,0.03728
gradient_boosting_isotonic,2,773,0.07953,0.08538
gradient_boosting_isotonic,3,727,0.09681,0.08803
gradient_boosting_isotonic,4,756,0.11421,0.12831
gradient_boosting_isotonic,5,746,0.13541,0.1555
gradient_boosting_isotonic,6,749,0.15244,0.15888
gradient_boosting_isotonic,7,751,0.19319,0.1731
gradient_boosting_isotonic,8,749,0.26281,0.26569
gradient_boosting_isotonic,9,748,0.4289,0.42246
gradient_boosting_isotonic,10,750,0.72035,0.69867
